Sun Apr 14 08:07:50 2024 Epoch 189, rank:9, lr: 0.0000372, train loss: 0.29594, acc: 89.42600
Sun Apr 14 08:07:59 2024 Epoch 190, rank:9, lr: 0.0000308, train loss: 0.29564, acc: 89.50400
Sun Apr 14 08:08:09 2024 Epoch 191, rank:9, lr: 0.0000249, train loss: 0.29878, acc: 89.22400
Sun Apr 14 08:08:18 2024 Epoch 192, rank:9, lr: 0.0000197, train loss: 0.29243, acc: 89.51400
Sun Apr 14 08:08:28 2024 Epoch 193, rank:9, lr: 0.0000151, train loss: 0.29565, acc: 89.37400
Sun Apr 14 08:08:37 2024 Epoch 194, rank:8, lr: 0.0000111, train loss: 0.29568, acc: 89.43000
Sun Apr 14 08:08:47 2024 Epoch 195, rank:8, lr: 0.0000077, train loss: 0.29530, acc: 89.38400
Sun Apr 14 08:08:57 2024 Epoch 196, rank:8, lr: 0.0000049, train loss: 0.29678, acc: 89.45600
Sun Apr 14 08:09:06 2024 Epoch 197, rank:8, lr: 0.0000028, train loss: 0.29546, acc: 89.26000
Sun Apr 14 08:09:16 2024 Epoch 198, rank:8, lr: 0.0000012, train loss: 0.29699, acc: 89.43800
Sun Apr 14 08:09:25 2024 Epoch 199, rank:8, lr: 0.0000003, train loss: 0.29469, acc: 89.59400
